,booth,total_ridership_Monday,total_ridership_Tuesday,total_ridership_Wednesday,total_ridership_Thursday,total_ridership_Friday,total_ridership_Saturday,total_ridership_Sunday
0,1 AV_H007,5166.2307692307695,5554.179487179487,5278.25641025641,5498.051282051282,5464.846153846154,4457.2307692307695,4238.282051282052
1,1 AV_H008,4009.7179487179487,3531.3076923076924,3239.230769230769,3130.948717948718,3237.358974358974,3737.025641025641,4804.282051282052
2,103 ST-CORONA_R529,11737.820512820514,11521.948717948719,12329.564102564103,12482.923076923076,12835.897435897436,16815.51282051282,16355.076923076924
3,103 ST_N037,5140.5641025641025,4998.333333333333,5139.153846153846,5183.153846153846,5543.48717948718,4596.461538461538,4031.7179487179487
4,103 ST_R170,11563.589743589744,11607.897435897436,11171.205128205129,11298.615384615385,11415.564102564103,11170.692307692309,10690.589743589744
5,103 ST_R252,4437.051282051282,4750.48717948718,4480.102564102564,4309.666666666667,4932.333333333333,10934.666666666666,10382.615384615385
6,104 ST_J034,2077.3076923076924,2195.076923076923,2171.6153846153848,2264.8684210526317,2142.5263157894738,846.8205128205128,552.1025641025641
7,104 ST_N137,2217.897435897436,2307.076923076923,2316.6923076923076,2353.230769230769,2215.974358974359,1050.974358974359,740.7179487179487
8,110 ST_R253,4790.102564102564,4581.25641025641,4714.461538461538,4775.410256410257,4247.605263157895,4981.333333333333,4880.48717948718
9,110 ST_R254,6107.51282051282,6214.5641025641025,5862.974358974359,5840.974358974359,5868.736842105263,6320.820512820513,4942.461538461538
10,111 ST_J035,4852.615384615385,4936.7692307692305,5074.115384615385,5181.807692307692,4988.884615384615,2040.923076923077,1503.923076923077
11,111 ST_N138,1313.025641025641,1378.7179487179487,1387.974358974359,1394.8974358974358,1302.8974358974358,497.4102564102564,341.79487179487177
12,111 ST_N139,2196.4615384615386,2262.025641025641,2302.4102564102564,2314.3846153846152,2177.4358974358975,966.2307692307693,665.4358974358975
13,111 ST_R530,5974.205128205128,5862.307692307692,6003.871794871795,6076.666666666667,6772.384615384615,11101.384615384615,10127.205128205129
14,116 ST-COLUMBIA_R173,5357.74358974359,5745.076923076923,5954.179487179487,5715.666666666667,6639.4358974358975,8525.692307692309,8343.128205128205
15,116 ST_N029,2962.74358974359,3148.5897435897436,3249.025641025641,3230.5641025641025,3312.5897435897436,1879.6666666666667,1854.6666666666667
16,116 ST_N030,5698.48717948718,5369.897435897436,5563.076923076923,5778.974358974359,6192.333333333333,3927.74358974359,3515.025641025641
17,116 ST_R256,7531.205128205128,7007.2307692307695,7010.282051282052,6950.846153846154,7273.7692307692305,7600.179487179487,6865.025641025641
18,116 ST_R257,7749.7692307692305,8085.4358974358975,8156.2307692307695,8310.948717948719,8100.051282051282,7071.051282051282,6287.7692307692305
19,116 ST_R302,8427.358974358975,8490.23076923077,8766.307692307691,8761.76923076923,8923.0,6759.871794871795,6036.102564102564
20,116 ST_R303,4756.948717948718,4985.51282051282,5107.948717948718,5229.076923076923,5477.307692307692,4331.333333333333,3986.923076923077
21,121 ST_J037,2393.7179487179487,2583.2051282051284,2563.025641025641,2576.3076923076924,2402.897435897436,952.5641025641025,606.5641025641025
22,125 ST_N025,10917.461538461539,10987.615384615385,11322.51282051282,11323.23076923077,11451.842105263158,8417.307692307691,7088.846153846154
23,125 ST_N026,9988.846153846154,9877.794871794871,9898.102564102564,9486.307692307691,9395.473684210527,10079.076923076924,11484.435897435897
24,125 ST_R174,9609.897435897436,9363.820512820514,9750.666666666666,9971.820512820514,10320.28205128205,10190.051282051281,8982.0
25,125 ST_R258,16417.28205128205,17168.05128205128,17580.5641025641,17085.20512820513,17635.25641025641,20919.4358974359,20130.25641025641
26,125 ST_R304,9445.692307692309,9728.948717948719,9646.51282051282,9969.48717948718,9607.179487179486,6897.846153846154,5990.923076923077
